,Names,Latitudes,Longitudes,Price of Guinness,First Added By,First Added On,LastVerifiedBy,LastVerifiedOn,RMG,JB,DP,COC,BOC,ES,KON,SOS,SH,MOS,SC,AD,SP,MK
,The Snug Bar,53.3414249,-6.2657823,€3.70,Robbie Mc Guinness,1/10/2017,Robbie Mc Guinness,01/10/2017,1,,,,,,,,,,,,,
,Caulfield's Hotel,53.3582931,-6.2627403,€3.80,Robbie Mc Guinness,08/09/2017,Robbie Mc Guinness,08/09/2017,1,,,,,,,,,,,,,
,The Portobello Bar,53.3303513,-6.2641555,€4.00,Bill O'Clerigh,05/09/2017,Marc O'Sullivan,02/11/2017,,,,,1,1,,,,1,,,,
,The Clock,53.3429336,-6.2792108,€4.20,Colin O'Callaghan,07/10/2017,Colin O'Callaghan,07/10/2017,,,,1,,,,,,,,,,
,The Pimlico Tavern,53.34013,-6.280709,€4.20,Emmet Sheerin,18/11/2017,Emmet Sheerin,18/11/2017,,,,,,1,,,,,,,,
,The Bohemian (McGeoughs),53.360917,-6.2729243,€4.35,Shane Harding,9/12/2017,Shane Harding,9/12/2017,1,,,1,,,,,1,,,,,
,Quinn's,53.363551,-6.2581112,€4.40,Robbie Mc Guinness,13/09/2017,Robbie Mc Guinness,13/09/2017,1,,,,,,,,,,,,,
,Becky Morgan's,53.3397024,-6.2420989,€4.40,Shane Harding,8/12/2017,Shane Harding,8/12/2017,,,,,,,,,1,,,,,
,Cumiskey's,53.365196,-6.3189998,€4.50,Shane Harding,9/12/2017,Shane Harding,9/12/2017,,,,,,,,,1,,,,,
,Lucan County Bar,53.3561523,-6.4651041,€4.50,Colin O'Callaghan,25/08/2017,Colin O'Callaghan,25/08/2017,,,,1,,,,,,,,,,
,The Shakespeare,53.3530483,-6.2608019,€4.50,Emmet Sheerin,31/08/2017,Robbie Mc Guinness,09/12/2017,1,,,1,,1,,,1,,,,,
,The Royal Oak,53.3415919,-6.303331,€4.50,Colin O'Callaghan,07/10/2017,James Bingham,27/10/2017,,1,,1,,,,,,,,,,
,McGarry's Bar,53.3216994,-6.2795312,€4.50,Robbie Mc Guinness,21/09/2017,Robbie Mc Guinness,21/09/2017,1,,,,,,,,,,,,,
,Mc Grath's,53.362668,-6.259111,€4.60,Robbie Mc Guinness,13/09/2017,Robbie Mc Guinness,13/09/2017,1,,,,,,,,,,,,,
,The Hut (Mohans),53.3609827,-6.2724939,€4.60,Robbie Mc Guinness,9/12/2017,Robbie Mc Guinness,9/12/2017,1,,,1,,,,,1,,,,,
,Hacienda Bar,53.3481928,-6.2702321,€4.60,Colin O'Callaghan,23/09/2017,Colin O'Callaghan,23/09/2017,1,,,1,1,,,,,,,,,
,The Jug,53.3412468,-6.2746108,€4.60,Emmet Sheerin,18/11/2017,Emmet Sheerin,18/11/2017,,,,,,1,,,,,,,,
,Beggar's Bush (Jack Ryans),53.3363547,-6.236776,€4.60,Daniel Purdy,25/08/2017,Robbie Mc Guinness,14/11/2017,1,,1,1,,,,,,,,,,
,The Confession Box,53.3503185,-6.2584515,€4.70,Colin O'Callaghan,9/12/2017,Colin O'Callaghan,9/12/2017,1,,,1,,,,,1,1,,,,
